LECROYWR8108HD,61708,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,18-May-2024 12:53:21,0                 
Time,Ampl
-4.7220285e-06,0.306222
-4.7219285e-06,0.307199
-4.7218285e-06,0.30678
-4.7217285e-06,0.305943
-4.7216285e-06,0.306362
-4.7215285e-06,0.308733
-4.7214285e-06,0.313616
-4.7213285e-06,0.319196
-4.7212285e-06,0.324498
-4.7211285e-06,0.327706
-4.7210285e-06,0.328962
-4.7209285e-06,0.328962
-4.7208285e-06,0.329381
-4.7207285e-06,0.330776
-4.7206285e-06,0.333287
-4.7205285e-06,0.335658
-4.7204285e-06,0.337751
-4.7203285e-06,0.339007
-4.7202285e-06,0.34082
-4.7201285e-06,0.343331
-4.7200285e-06,0.346959
-4.7199285e-06,0.350307
-4.7198285e-06,0.352679
-4.7197285e-06,0.353516
-4.7196285e-06,0.353934
-4.7195285e-06,0.354632
-4.7194285e-06,0.356585
-4.7193285e-06,0.359236
-4.7192285e-06,0.362305
-4.7191285e-06,0.364955
-4.7190285e-06,0.367467
-4.7189285e-06,0.369559
-4.7188285e-06,0.371931
-4.7187285e-06,0.373884
-4.7186285e-06,0.375698
-4.7185285e-06,0.376395
-4.7184285e-06,0.376535
-4.7183285e-06,0.376116
-4.7182285e-06,0.376395
-4.7181285e-06,0.377511
-4.7180285e-06,0.380022
-4.7179285e-06,0.383092
-4.7178285e-06,0.3863
-4.7177285e-06,0.388393
-4.7176285e-06,0.389369
-4.7175285e-06,0.388672
-4.7174285e-06,0.387556
-4.7173285e-06,0.386579
-4.7172285e-06,0.386998
-4.7171285e-06,0.388253
-4.7170285e-06,0.390486
-4.7169285e-06,0.39202
-4.7168285e-06,0.393136
-4.7167285e-06,0.393415
-4.7166285e-06,0.394252
-4.7165285e-06,0.395508
-4.7164285e-06,0.397461
-4.7163285e-06,0.398438
-4.7162285e-06,0.398438
-4.7161285e-06,0.397042
-4.7160285e-06,0.395787
-4.7159285e-06,0.395508
-4.7158285e-06,0.397321
-4.7157285e-06,0.400112
-4.7156285e-06,0.403041
-4.7155285e-06,0.404157
-4.7154285e-06,0.40332
-4.7153285e-06,0.40053
-4.7152285e-06,0.39774
-4.7151285e-06,0.395647
-4.7150285e-06,0.395229
-4.7149285e-06,0.395647
-4.7148285e-06,0.396345
-4.7147285e-06,0.395926
-4.7146285e-06,0.395089
-4.7145285e-06,0.393694
-4.7144285e-06,0.393136
-4.7143285e-06,0.392718
-4.7142285e-06,0.392718
-4.7141285e-06,0.391741
-4.7140285e-06,0.390206
-4.7139285e-06,0.387416
-4.7138285e-06,0.384068
-4.7137285e-06,0.379185
-4.7136285e-06,0.373465
-4.7135285e-06,0.366908
-4.7134285e-06,0.361189
-4.7133285e-06,0.356306
-4.7132285e-06,0.3524
-4.7131285e-06,0.346959
-4.7130285e-06,0.338449
-4.7129285e-06,0.325335
-4.7128285e-06,0.309291
-4.7127285e-06,0.291713
-4.7126285e-06,0.275251
-4.7125285e-06,0.260045
-4.7124285e-06,0.245954
-4.7123285e-06,0.231445
-4.7122285e-06,0.215541
-4.7121285e-06,0.197126
-4.7120285e-06,0.176758
-4.7119285e-06,0.154715
-4.7118285e-06,0.132394
-4.7117285e-06,0.110491
-4.7116285e-06,0.0897042
-4.7115285e-06,0.0689174
-4.7114285e-06,0.046875
-4.7113285e-06,0.0223214
-4.7112285e-06,-0.00460379
-4.7111285e-06,-0.0332031
-4.7110285e-06,-0.0629185
-4.7109285e-06,-0.0933315
-4.7108285e-06,-0.124721
-4.7107285e-06,-0.156669
-4.7106285e-06,-0.188616
-4.7105285e-06,-0.219169
-4.7104285e-06,-0.247768
-4.7103285e-06,-0.274554
-4.7102285e-06,-0.300781
-4.7101285e-06,-0.327288
-4.7100285e-06,-0.354492
-4.7099285e-06,-0.381417
-4.7098285e-06,-0.407645
-4.7097285e-06,-0.432199
-4.7096285e-06,-0.455915
-4.7095285e-06,-0.479074
-4.7094285e-06,-0.503488
-4.7093285e-06,-0.528599
-4.7092285e-06,-0.554548
-4.7091285e-06,-0.578683
-4.7090285e-06,-0.600028
-4.7089285e-06,-0.617327
-4.7088285e-06,-0.632534
-4.7087285e-06,-0.646624
-4.7086285e-06,-0.662109
-4.7085285e-06,-0.678292
-4.7084285e-06,-0.694754
-4.7083285e-06,-0.708705
-4.7082285e-06,-0.720285
-4.7081285e-06,-0.728655
-4.7080285e-06,-0.73591
-4.7079285e-06,-0.741769
-4.7078285e-06,-0.747628
-4.7077285e-06,-0.752093
-4.7076285e-06,-0.756278
-4.7075285e-06,-0.759626
-4.7074285e-06,-0.76423
-4.7073285e-06,-0.769252
-4.7072285e-06,-0.775251
-4.7071285e-06,-0.779436
-4.7070285e-06,-0.781529
-4.7069285e-06,-0.780134
-4.7068285e-06,-0.777483
-4.7067285e-06,-0.773717
-4.7066285e-06,-0.771345
-4.7065285e-06,-0.769671
-4.7064285e-06,-0.769252
-4.7063285e-06,-0.767997
-4.7062285e-06,-0.766044
-4.7061285e-06,-0.76144
-4.7060285e-06,-0.755162
-4.7059285e-06,-0.746791
-4.7058285e-06,-0.7387
-4.7057285e-06,-0.731027
-4.7056285e-06,-0.726144
-4.7055285e-06,-0.722796
-4.7054285e-06,-0.720982
-4.7053285e-06,-0.717773
-4.7052285e-06,-0.712612
-4.7051285e-06,-0.70452
-4.7050285e-06,-0.695871
-4.7049285e-06,-0.687082
-4.7048285e-06,-0.679967
-4.7047285e-06,-0.673131
-4.7046285e-06,-0.666574
-4.7045285e-06,-0.658622
-4.7044285e-06,-0.650391
-4.7043285e-06,-0.641602
-4.7042285e-06,-0.633789
-4.7041285e-06,-0.625977
-4.7040285e-06,-0.618583
-4.7039285e-06,-0.609933
-4.7038285e-06,-0.600446
-4.7037285e-06,-0.589146
-4.7036285e-06,-0.577288
-4.7035285e-06,-0.564732
-4.7034285e-06,-0.553153
-4.7033285e-06,-0.542271
-4.7032285e-06,-0.532785
-4.7031285e-06,-0.523438
-4.7030285e-06,-0.513951
-4.7029285e-06,-0.50279
-4.7028285e-06,-0.490234
-4.7027285e-06,-0.476004
-4.7026285e-06,-0.461914
-4.7025285e-06,-0.448242
-4.7024285e-06,-0.436244
-4.7023285e-06,-0.425363
-4.7022285e-06,-0.415039
-4.7021285e-06,-0.403739
-4.7020285e-06,-0.391602
-4.7019285e-06,-0.378488
-4.7018285e-06,-0.365792
-4.7017285e-06,-0.353376
-4.7016285e-06,-0.341518
-4.7015285e-06,-0.329241
-4.7014285e-06,-0.316685
-4.7013285e-06,-0.304129
-4.7012285e-06,-0.292829
